country	week	deaths
Australia	1	2
Australia	2	2
Australia	3	2
Australia	4	2
Australia	5	1
Australia	6	1
Australia	7	1
Australia	8	1
Australia	9	1
Australia	10	1
Australia	11	1
Australia	12	1
Australia	13	1
Australia	14	1
Australia	15	1
Australia	16	1
Australia	17	1
Australia	18	1
Australia	19	1
Australia	20	1
Australia	21	1
Australia	22	1
Australia	23	1
Australia	24	1
Australia	25	1
Australia	26	1
Australia	27	1
Australia	28	1
Australia	29	1
Australia	30	1
Australia	31	1
Australia	32	1
Australia	33	1
Australia	34	1
Australia	35	1
Australia	36	1
Australia	37	1
Australia	38	1
Australia	39	1
Australia	40	1
Australia	41	1
Australia	42	1
Australia	43	1
Australia	44	1
Australia	45	1
Australia	46	1
Australia	47	1
Australia	48	1
Australia	49	1
Australia	50	1
Australia	51	1
Australia	52	1
Australia	53	1
Austria	1	2
Austria	2	2
Austria	3	2
Austria	4	2
Austria	5	2
Austria	6	2
Austria	7	2
Austria	8	2
Austria	9	2
Austria	10	2
Austria	11	2
Austria	12	2
Austria	13	2
Austria	14	2
Austria	15	2
Austria	16	2
Austria	17	1
Austria	18	1
Austria	19	1
Austria	20	1
Austria	21	1
Austria	22	1
Austria	23	1
Austria	24	1
Austria	25	1
Austria	26	1
Austria	27	1
Austria	28	1
Austria	29	1
Austria	30	1
Austria	31	1
Austria	32	1
Austria	33	1
Austria	34	1
Austria	35	1
Austria	36	1
Austria	37	1
Austria	38	1
Austria	39	1
Austria	40	1
Austria	41	1
Austria	42	1
Austria	43	1
Austria	44	1
Austria	45	1
Austria	46	1
Austria	47	1
Austria	48	1
Austria	49	1
Austria	50	1
Austria	51	1
Austria	52	1
Austria	53	1
Belgium	1	2
Belgium	2	2
Belgium	3	2
Belgium	4	2
Belgium	5	2
Belgium	6	2
Belgium	7	2
Belgium	8	2
Belgium	9	2
Belgium	10	2
Belgium	11	2
Belgium	12	2
Belgium	13	2
Belgium	14	2
Belgium	15	2
Belgium	16	2
Belgium	17	1
Belgium	18	1
Belgium	19	1
Belgium	20	1
Belgium	21	1
Belgium	22	1
Belgium	23	1
Belgium	24	1
Belgium	25	1
Belgium	26	1
Belgium	27	1
Belgium	28	1
Belgium	29	1
Belgium	30	1
Belgium	31	1
Belgium	32	1
Belgium	33	1
Belgium	34	1
Belgium	35	1
Belgium	36	1
Belgium	37	1
Belgium	38	1
Belgium	39	1
Belgium	40	1
Belgium	41	1
Belgium	42	1
Belgium	43	1
Belgium	44	1
Belgium	45	1
Belgium	46	1
Belgium	47	1
Belgium	48	1
Belgium	49	1
Belgium	50	1
Belgium	51	1
Belgium	52	1
Belgium	53	1
Britain	1	28
Britain	2	28
Britain	3	28
Britain	4	28
Britain	5	28
Britain	6	28
Britain	7	28
Britain	8	28
Britain	9	28
Britain	10	28
Britain	11	28
Britain	12	28
Britain	13	28
Britain	14	28
Britain	15	28
Britain	16	28
Britain	17	28
Britain	18	14
Britain	19	14
Britain	20	14
Britain	21	14
Britain	22	14
Britain	23	14
Britain	24	14
Britain	25	14
Britain	26	14
Britain	27	14
Britain	28	14
Britain	29	14
Britain	30	14
Britain	31	14
Britain	32	14
Britain	33	14
Britain	34	14
Britain	35	14
Britain	36	14
Britain	37	14
Britain	38	14
Britain	39	14
Britain	40	14
Britain	41	14
Britain	42	14
Britain	43	14
Britain	44	14
Britain	45	14
Britain	46	14
Britain	47	14
Britain	48	14
Britain	49	14
Britain	50	14
Britain	51	14
Britain	52	14
Britain	53	14
Bulgaria	1	2
Bulgaria	2	2
Bulgaria	3	2
Bulgaria	4	2
Bulgaria	5	2
Bulgaria	6	2
Bulgaria	7	2
Bulgaria	8	2
Bulgaria	9	2
Bulgaria	10	2
Bulgaria	11	2
Bulgaria	12	2
Bulgaria	13	2
Bulgaria	14	2
Bulgaria	15	2
Bulgaria	16	2
Bulgaria	17	1
Bulgaria	18	1
Bulgaria	19	1
Bulgaria	20	1
Bulgaria	21	1
Bulgaria	22	1
Bulgaria	23	1
Bulgaria	24	1
Bulgaria	25	1
Bulgaria	26	1
Bulgaria	27	1
Bulgaria	28	1
Bulgaria	29	1
Bulgaria	30	1
Bulgaria	31	1
Bulgaria	32	1
Bulgaria	33	1
Bulgaria	34	1
Bulgaria	35	1
Bulgaria	36	1
Bulgaria	37	1
Bulgaria	38	1
Bulgaria	39	1
Bulgaria	40	1
Bulgaria	41	1
Bulgaria	42	1
Bulgaria	43	1
Bulgaria	44	1
Bulgaria	45	1
Bulgaria	46	1
Bulgaria	47	1
Bulgaria	48	1
Bulgaria	49	1
Bulgaria	50	1
Bulgaria	51	1
Bulgaria	52	1
Bulgaria	53	1
Canada	1	2
Canada	2	1
Canada	3	1
Canada	4	1
Canada	5	1
Canada	6	1
Canada	7	1
Canada	8	1
Canada	9	1
Canada	10	1
Canada	11	1
Canada	12	1
Canada	13	1
Canada	14	1
Canada	15	1
Canada	16	1
Canada	17	1
Canada	18	1
Canada	19	1
Canada	20	1
Canada	21	1
Canada	22	1
Canada	23	1
Canada	24	1
Canada	25	1
Canada	26	1
Canada	27	1
Canada	28	1
Canada	29	1
Canada	30	1
Canada	31	1
Canada	32	1
Canada	33	1
Canada	34	1
Canada	35	1
Canada	36	1
Canada	37	1
Canada	38	1
Canada	39	1
Canada	40	1
Canada	41	1
Canada	42	1
Canada	43	1
Canada	44	1
Canada	45	1
Canada	46	1
Canada	47	1
Canada	48	1
Canada	49	1
Canada	50	1
Canada	51	1
Canada	52	1
Canada	53	1
Chile	1	32
Chile	2	32
Chile	3	32
Chile	4	32
Chile	5	32
Chile	6	32
Chile	7	32
Chile	8	32
Chile	9	32
Chile	10	32
Chile	11	32
Chile	12	32
Chile	13	32
Chile	14	16
Chile	15	16
Chile	16	16
Chile	17	16
Chile	18	16
Chile	19	16
Chile	20	16
Chile	21	16
Chile	22	16
Chile	23	16
Chile	24	16
Chile	25	16
Chile	26	16
Chile	27	16
Chile	28	16
Chile	29	16
Chile	30	16
Chile	31	16
Chile	32	16
Chile	33	16
Chile	34	16
Chile	35	16
Chile	36	16
Chile	37	16
Chile	38	16
Chile	39	16
Chile	40	16
Chile	41	16
Chile	42	16
Chile	43	16
Chile	44	16
Chile	45	16
Chile	46	16
Chile	47	16
Chile	48	16
Chile	49	16
Chile	50	16
Chile	51	16
Chile	52	16
Chile	53	16
Colombia	1	2
Colombia	2	2
Colombia	3	2
Colombia	4	2
Colombia	5	2
Colombia	6	2
Colombia	7	2
Colombia	8	2
Colombia	9	2
Colombia	10	2
Colombia	11	2
Colombia	12	2
Colombia	13	2
Colombia	14	2
Colombia	15	1
Colombia	16	1
Colombia	17	1
Colombia	18	1
Colombia	19	1
Colombia	20	1
Colombia	21	1
Colombia	22	1
Colombia	23	1
Colombia	24	1
Colombia	25	1
Colombia	26	1
Colombia	27	1
Colombia	28	1
Colombia	29	1
Colombia	30	1
Colombia	31	1
Colombia	32	1
Colombia	33	1
Colombia	34	1
Colombia	35	1
Colombia	36	1
Colombia	37	1
Colombia	38	1
Colombia	39	1
Colombia	40	1
Colombia	41	1
Colombia	42	1
Colombia	43	1
Colombia	44	1
Colombia	45	1
Colombia	46	1
Colombia	47	1
Colombia	48	1
Colombia	49	1
Colombia	50	1
Colombia	51	1
Colombia	52	1
Colombia	53	1
Croatia	1	2
Croatia	2	2
Croatia	3	2
Croatia	4	2
Croatia	5	2
Croatia	6	2
Croatia	7	2
Croatia	8	2
Croatia	9	2
Croatia	10	2
Croatia	11	2
Croatia	12	2
Croatia	13	1
Croatia	14	1
Croatia	15	1
Croatia	16	1
Croatia	17	1
Croatia	18	1
Croatia	19	1
Croatia	20	1
Croatia	21	1
Croatia	22	1
Croatia	23	1
Croatia	24	1
Croatia	25	1
Croatia	26	1
Croatia	27	1
Croatia	28	1
Croatia	29	1
Croatia	30	1
Croatia	31	1
Croatia	32	1
Croatia	33	1
Croatia	34	1
Croatia	35	1
Croatia	36	1
Croatia	37	1
Croatia	38	1
Croatia	39	1
Croatia	40	1
Croatia	41	1
Croatia	42	1
Croatia	43	1
Croatia	44	1
Croatia	45	1
Croatia	46	1
Croatia	47	1
Croatia	48	1
Croatia	49	1
Croatia	50	1
Croatia	51	1
Croatia	52	1
Croatia	53	1
Cyprus	1	2
Cyprus	2	2
Cyprus	3	2
Cyprus	4	2
Cyprus	5	2
Cyprus	6	2
Cyprus	7	2
Cyprus	8	2
Cyprus	9	2
Cyprus	10	2
Cyprus	11	2
Cyprus	12	2
Cyprus	13	1
Cyprus	14	1
Cyprus	15	1
Cyprus	16	1
Cyprus	17	1
Cyprus	18	1
Cyprus	19	1
Cyprus	20	1
Cyprus	21	1
Cyprus	22	1
Cyprus	23	1
Cyprus	24	1
Cyprus	25	1
Cyprus	26	1
Cyprus	27	1
Cyprus	28	1
Cyprus	29	1
Cyprus	30	1
Cyprus	31	1
Cyprus	32	1
Cyprus	33	1
Cyprus	34	1
Cyprus	35	1
Cyprus	36	1
Cyprus	37	1
Cyprus	38	1
Cyprus	39	1
Cyprus	40	1
Cyprus	41	1
Cyprus	42	1
Cyprus	43	1
Cyprus	44	1
Cyprus	45	1
Cyprus	46	1
Cyprus	47	1
Cyprus	48	1
Cyprus	49	1
Cyprus	50	1
Cyprus	51	1
Cyprus	52	1
Cyprus	53	1
Czech Republic	1	2
Czech Republic	2	2
Czech Republic	3	2
Czech Republic	4	2
Czech Republic	5	2
Czech Republic	6	2
Czech Republic	7	2
Czech Republic	8	2
Czech Republic	9	2
Czech Republic	10	2
Czech Republic	11	2
Czech Republic	12	2
Czech Republic	13	1
Czech Republic	14	1
Czech Republic	15	1
Czech Republic	16	1
Czech Republic	17	1
Czech Republic	18	1
Czech Republic	19	1
Czech Republic	20	1
Czech Republic	21	1
Czech Republic	22	1
Czech Republic	23	1
Czech Republic	24	1
Czech Republic	25	1
Czech Republic	26	1
Czech Republic	27	1
Czech Republic	28	1
Czech Republic	29	1
Czech Republic	30	1
Czech Republic	31	1
Czech Republic	32	1
Czech Republic	33	1
Czech Republic	34	1
Czech Republic	35	1
Czech Republic	36	1
Czech Republic	37	1
Czech Republic	38	1
Czech Republic	39	1
Czech Republic	40	1
Czech Republic	41	1
Czech Republic	42	1
Czech Republic	43	1
Czech Republic	44	1
Czech Republic	45	1
Czech Republic	46	1
Czech Republic	47	1
Czech Republic	48	1
Czech Republic	49	1
Czech Republic	50	1
Czech Republic	51	1
Czech Republic	52	1
Czech Republic	53	1
Denmark	1	2
Denmark	2	2
Denmark	3	2
Denmark	4	2
Denmark	5	2
Denmark	6	2
Denmark	7	2
Denmark	8	2
Denmark	9	2
Denmark	10	2
Denmark	11	2
Denmark	12	2
Denmark	13	2
Denmark	14	2
Denmark	15	2
Denmark	16	2
Denmark	17	2
Denmark	18	1
Denmark	19	1
Denmark	20	1
Denmark	21	1
Denmark	22	1
Denmark	23	1
Denmark	24	1
Denmark	25	1
Denmark	26	1
Denmark	27	1
Denmark	28	1
Denmark	29	1
Denmark	30	1
Denmark	31	1
Denmark	32	1
Denmark	33	1
Denmark	34	1
Denmark	35	1
Denmark	36	1
Denmark	37	1
Denmark	38	1
Denmark	39	1
Denmark	40	1
Denmark	41	1
Denmark	42	1
Denmark	43	1
Denmark	44	1
Denmark	45	1
Denmark	46	1
Denmark	47	1
Denmark	48	1
Denmark	49	1
Denmark	50	1
Denmark	51	1
Denmark	52	1
Denmark	53	1
Estonia	1	2
Estonia	2	2
Estonia	3	2
Estonia	4	2
Estonia	5	2
Estonia	6	2
Estonia	7	2
Estonia	8	2
Estonia	9	2
Estonia	10	2
Estonia	11	2
Estonia	12	2
Estonia	13	2
Estonia	14	2
Estonia	15	2
Estonia	16	2
Estonia	17	2
Estonia	18	1
Estonia	19	1
Estonia	20	1
Estonia	21	1
Estonia	22	1
Estonia	23	1
Estonia	24	1
Estonia	25	1
Estonia	26	1
Estonia	27	1
Estonia	28	1
Estonia	29	1
Estonia	30	1
Estonia	31	1
Estonia	32	1
Estonia	33	1
Estonia	34	1
Estonia	35	1
Estonia	36	1
Estonia	37	1
Estonia	38	1
Estonia	39	1
Estonia	40	1
Estonia	41	1
Estonia	42	1
Estonia	43	1
Estonia	44	1
Estonia	45	1
Estonia	46	1
Estonia	47	1
Estonia	48	1
Estonia	49	1
Estonia	50	1
Estonia	51	1
Estonia	52	1
Estonia	53	1
Finland	1	2
Finland	2	2
Finland	3	2
Finland	4	2
Finland	5	2
Finland	6	2
Finland	7	2
Finland	8	2
Finland	9	2
Finland	10	2
Finland	11	2
Finland	12	2
Finland	13	2
Finland	14	2
Finland	15	1
Finland	16	1
Finland	17	1
Finland	18	1
Finland	19	1
Finland	20	1
Finland	21	1
Finland	22	1
Finland	23	1
Finland	24	1
Finland	25	1
Finland	26	1
Finland	27	1
Finland	28	1
Finland	29	1
Finland	30	1
Finland	31	1
Finland	32	1
Finland	33	1
Finland	34	1
Finland	35	1
Finland	36	1
Finland	37	1
Finland	38	1
Finland	39	1
Finland	40	1
Finland	41	1
Finland	42	1
Finland	43	1
Finland	44	1
Finland	45	1
Finland	46	1
Finland	47	1
Finland	48	1
Finland	49	1
Finland	50	1
Finland	51	1
Finland	52	1
Finland	53	1
France	1	28
France	2	28
France	3	28
France	4	28
France	5	28
France	6	28
France	7	28
France	8	28
France	9	28
France	10	28
France	11	28
France	12	28
France	13	28
France	14	28
France	15	28
France	16	28
France	17	14
France	18	14
France	19	14
France	20	14
France	21	14
France	22	14
France	23	14
France	24	14
France	25	14
France	26	14
France	27	14
France	28	14
France	29	14
France	30	14
France	31	14
France	32	14
France	33	14
France	34	14
France	35	14
France	36	14
France	37	14
France	38	14
France	39	14
France	40	14
France	41	14
France	42	14
France	43	14
France	44	14
France	45	14
France	46	14
France	47	14
France	48	14
France	49	14
France	50	14
France	51	14
France	52	14
France	53	14
Germany	1	2
Germany	2	2
Germany	3	2
Germany	4	2
Germany	5	2
Germany	6	2
Germany	7	2
Germany	8	2
Germany	9	2
Germany	10	2
Germany	11	2
Germany	12	2
Germany	13	2
Germany	14	2
Germany	15	2
Germany	16	2
Germany	17	1
Germany	18	1
Germany	19	1
Germany	20	1
Germany	21	1
Germany	22	1
Germany	23	1
Germany	24	1
Germany	25	1
Germany	26	1
Germany	27	1
Germany	28	1
Germany	29	1
Germany	30	1
Germany	31	1
Germany	32	1
Germany	33	1
Germany	34	1
Germany	35	1
Germany	36	1
Germany	37	1
Germany	38	1
Germany	39	1
Germany	40	1
Germany	41	1
Germany	42	1
Germany	43	1
Germany	44	1
Germany	45	1
Germany	46	1
Germany	47	1
Germany	48	1
Germany	49	1
Germany	50	1
Germany	51	1
Germany	52	1
Germany	53	1
Greece	1	2
Greece	2	2
Greece	3	2
Greece	4	2
Greece	5	2
Greece	6	2
Greece	7	2
Greece	8	2
Greece	9	2
Greece	10	2
Greece	11	2
Greece	12	2
Greece	13	2
Greece	14	1
Greece	15	1
Greece	16	1
Greece	17	1
Greece	18	1
Greece	19	1
Greece	20	1
Greece	21	1
Greece	22	1
Greece	23	1
Greece	24	1
Greece	25	1
Greece	26	1
Greece	27	1
Greece	28	1
Greece	29	1
Greece	30	1
Greece	31	1
Greece	32	1
Greece	33	1
Greece	34	1
Greece	35	1
Greece	36	1
Greece	37	1
Greece	38	1
Greece	39	1
Greece	40	1
Greece	41	1
Greece	42	1
Greece	43	1
Greece	44	1
Greece	45	1
Greece	46	1
Greece	47	1
Greece	48	1
Greece	49	1
Greece	50	1
Greece	51	1
Greece	52	1
Greece	53	1
Hungary	1	2
Hungary	2	2
Hungary	3	2
Hungary	4	2
Hungary	5	2
Hungary	6	2
Hungary	7	2
Hungary	8	2
Hungary	9	2
Hungary	10	2
Hungary	11	2
Hungary	12	2
Hungary	13	2
Hungary	14	2
Hungary	15	1
Hungary	16	1
Hungary	17	1
Hungary	18	1
Hungary	19	1
Hungary	20	1
Hungary	21	1
Hungary	22	1
Hungary	23	1
Hungary	24	1
Hungary	25	1
Hungary	26	1
Hungary	27	1
Hungary	28	1
Hungary	29	1
Hungary	30	1
Hungary	31	1
Hungary	32	1
Hungary	33	1
Hungary	34	1
Hungary	35	1
Hungary	36	1
Hungary	37	1
Hungary	38	1
Hungary	39	1
Hungary	40	1
Hungary	41	1
Hungary	42	1
Hungary	43	1
Hungary	44	1
Hungary	45	1
Hungary	46	1
Hungary	47	1
Hungary	48	1
Hungary	49	1
Hungary	50	1
Hungary	51	1
Hungary	52	1
Hungary	53	1
Iceland	1	2
Iceland	2	2
Iceland	3	2
Iceland	4	2
Iceland	5	2
Iceland	6	2
Iceland	7	2
Iceland	8	2
Iceland	9	2
Iceland	10	2
Iceland	11	2
Iceland	12	1
Iceland	13	1
Iceland	14	1
Iceland	15	1
Iceland	16	1
Iceland	17	1
Iceland	18	1
Iceland	19	1
Iceland	20	1
Iceland	21	1
Iceland	22	1
Iceland	23	1
Iceland	24	1
Iceland	25	1
Iceland	26	1
Iceland	27	1
Iceland	28	1
Iceland	29	1
Iceland	30	1
Iceland	31	1
Iceland	32	1
Iceland	33	1
Iceland	34	1
Iceland	35	1
Iceland	36	1
Iceland	37	1
Iceland	38	1
Iceland	39	1
Iceland	40	1
Iceland	41	1
Iceland	42	1
Iceland	43	1
Iceland	44	1
Iceland	45	1
Iceland	46	1
Iceland	47	1
Iceland	48	1
Iceland	49	1
Iceland	50	1
Iceland	51	1
Iceland	52	1
Iceland	53	1
Israel	1	2
Israel	2	2
Israel	3	2
Israel	4	2
Israel	5	2
Israel	6	2
Israel	7	2
Israel	8	2
Israel	9	2
Israel	10	2
Israel	11	1
Israel	12	1
Israel	13	1
Israel	14	1
Israel	15	1
Israel	16	1
Israel	17	1
Israel	18	1
Israel	19	1
Israel	20	1
Israel	21	1
Israel	22	1
Israel	23	1
Israel	24	1
Israel	25	1
Israel	26	1
Israel	27	1
Israel	28	1
Israel	29	1
Israel	30	1
Israel	31	1
Israel	32	1
Israel	33	1
Israel	34	1
Israel	35	1
Israel	36	1
Israel	37	1
Israel	38	1
Israel	39	1
Israel	40	1
Israel	41	1
Israel	42	1
Israel	43	1
Israel	44	1
Israel	45	1
Israel	46	1
Israel	47	1
Israel	48	1
Israel	49	1
Israel	50	1
Israel	51	1
Israel	52	1
Israel	53	1
Italy	1	40
Italy	2	40
Italy	3	40
Italy	4	40
Italy	5	40
Italy	6	20
Italy	7	20
Italy	8	20
Italy	9	20
Italy	10	20
Italy	11	20
Italy	12	20
Italy	13	20
Italy	14	20
Italy	15	20
Italy	16	20
Italy	17	20
Italy	18	20
Italy	19	20
Italy	20	20
Italy	21	20
Italy	22	20
Italy	23	20
Italy	24	20
Italy	25	20
Italy	26	20
Italy	27	20
Italy	28	20
Italy	29	20
Italy	30	20
Italy	31	20
Italy	32	20
Italy	33	20
Italy	34	20
Italy	35	20
Italy	36	20
Italy	37	20
Italy	38	20
Italy	39	20
Italy	40	20
Italy	41	20
Italy	42	20
Italy	43	20
Italy	44	20
Italy	45	20
Italy	46	20
Italy	47	20
Italy	48	20
Italy	49	20
Italy	50	20
Italy	51	20
Italy	52	20
Italy	53	20
Latvia	1	2
Latvia	2	2
Latvia	3	2
Latvia	4	2
Latvia	5	2
Latvia	6	2
Latvia	7	2
Latvia	8	2
Latvia	9	2
Latvia	10	2
Latvia	11	2
Latvia	12	2
Latvia	13	2
Latvia	14	2
Latvia	15	2
Latvia	16	1
Latvia	17	1
Latvia	18	1
Latvia	19	1
Latvia	20	1
Latvia	21	1
Latvia	22	1
Latvia	23	1
Latvia	24	1
Latvia	25	1
Latvia	26	1
Latvia	27	1
Latvia	28	1
Latvia	29	1
Latvia	30	1
Latvia	31	1
Latvia	32	1
Latvia	33	1
Latvia	34	1
Latvia	35	1
Latvia	36	1
Latvia	37	1
Latvia	38	1
Latvia	39	1
Latvia	40	1
Latvia	41	1
Latvia	42	1
Latvia	43	1
Latvia	44	1
Latvia	45	1
Latvia	46	1
Latvia	47	1
Latvia	48	1
Latvia	49	1
Latvia	50	1
Latvia	51	1
Latvia	52	1
Latvia	53	1
Lithuania	1	2
Lithuania	2	2
Lithuania	3	2
Lithuania	4	2
Lithuania	5	2
Lithuania	6	2
Lithuania	7	2
Lithuania	8	2
Lithuania	9	2
Lithuania	10	2
Lithuania	11	2
Lithuania	12	2
Lithuania	13	2
Lithuania	14	2
Lithuania	15	2
Lithuania	16	2
Lithuania	17	1
Lithuania	18	1
Lithuania	19	1
Lithuania	20	1
Lithuania	21	1
Lithuania	22	1
Lithuania	23	1
Lithuania	24	1
Lithuania	25	1
Lithuania	26	1
Lithuania	27	1
Lithuania	28	1
Lithuania	29	1
Lithuania	30	1
Lithuania	31	1
Lithuania	32	1
Lithuania	33	1
Lithuania	34	1
Lithuania	35	1
Lithuania	36	1
Lithuania	37	1
Lithuania	38	1
Lithuania	39	1
Lithuania	40	1
Lithuania	41	1
Lithuania	42	1
Lithuania	43	1
Lithuania	44	1
Lithuania	45	1
Lithuania	46	1
Lithuania	47	1
Lithuania	48	1
Lithuania	49	1
Lithuania	50	1
Lithuania	51	1
Lithuania	52	1
Lithuania	53	1
Luxembourg	1	2
Luxembourg	2	2
Luxembourg	3	2
Luxembourg	4	2
Luxembourg	5	2
Luxembourg	6	2
Luxembourg	7	2
Luxembourg	8	2
